L,polyDeg,trial,decoder_creation_time_ms,trace_d_time_ms
16,10,1,1583.0000,502.0000
16,10,2,1468.0000,537.0000
16,10,3,1434.0000,1012.0000
16,10,4,1760.0000,758.0000
16,10,5,1431.0000,513.0000
64,42,1,21988.0000,1922.0000
64,42,2,23289.0000,3020.0000
64,42,3,22110.0000,2997.0000
64,42,4,22716.0000,2454.0000
64,42,5,22052.0000,2443.0000
256,170,1,343869.0000,6811.0000
256,170,2,343840.0000,7302.0000
256,170,3,343858.0000,7451.0000
256,170,4,342144.0000,10482.0000
256,170,5,342055.0000,13929.0000
